登録物件一覧
出力日時：,2026/03/04 23:02:45

掲載状況：,全て
在庫状況：,全て
メーカー：,指定なし
車種：,指定なし
価格見直し：,なし
お気に入り：,なし
車検切れ：,全て
総額：,全て
掲載解除：,全て
更新日（以降）：,
プラン：,全て
本体価格下限：,下限なし
本体価格上限：,上限なし
年式下限：,下限なし
年式上限：,上限なし
入稿状況：,
複数画像：,全て
キャプション：,全て
見積書：,全て
貴社管理番号：
車台番号：
物件コード：
通常ローン：,全て
残価据置ローン：,全て
自動車税：,全て
シート種別：,全て
保証期限：,全て
CS保証見直し：,全て
CS保証入力：,全て
CS認定：,全て
新規検査依頼：,全て
認定ステータス：,全て
評価書流用：,全て
評価書期限：,全て
ソート順変更(優先順位１)：,指定なし
ソート順変更(優先順位２)：,指定なし
ソート順変更(優先順位３)：,指定なし

メーカー,車種,グレード,グレード補記,年式表示用,年式検索用（年）,年式検索用（月）,走行距離表示用,走行距離検索用,色,車検,本体価格表示用,本体価格検索用,支払総額表示用,支払総額検索用,車台番号,貴社管理番号,物件コード,コメント1,コメント2,掲載状況,非掲載理由,在庫状況,拡大コマ,総掲載日数,他掲載指示状況(発売日・商品名),プラン掲出数,Aプラン,Bプラン,複画数,キャプション数,詳細閲覧数,メール問合せ数（全て）,電話問合せ数,MAP閲覧数,お気に入り,価格見直し登録,検査依頼,流用物件（有/無）,流用物件（残日数）,認定ステータス,評価情報（総合）,評価情報（内装）,評価情報（外装）,評価書有効期限,評価書掲出,登録日,更新日
日産,デイズ,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H25,2013,12,5.4万km,54000,銀,車検整備付,34.0万円,340000,44.0万円,440000,B21W-0083199,16594129,UZ0048062842,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,非掲載,メディア成約（カーセンサー/EDGE）,なし,非掲載,351,,2,掲出:49.9万円,掲出:50.0万円,79,79,892,0,0,4,2,0,認定対象外,無,,,,,,,非掲出,2025/02/21 09:47,2026/03/04 15:30
日産,バネット,事前点検済 自社保証 09保 カープレ保,関東仕入れ 下錆少ない 事前点検済 車検整,H21,2009,12,9.2万km,92000,白,車検整備付,46.0万円,460000,56.0万円,560000,SK82MN-402771,19317849,UZ0049973666,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,非掲載,メディア成約（カーセンサー/EDGE）,なし,非掲載,169,,2,掲出:61.9万円,掲出:62.0万円,76,76,1010,2,7,4,13,0,認定対象外,無,,,,,,,非掲出,2025/08/28 09:36,2026/03/04 13:49
日産,バネット,事前点検済 自社保証 09保 カープレ保,AIS検査員資格者確認済 事前点検済 車検整,H16,2004,07,2.1万km,21000,白,車検整備付,82.0万円,820000,92.0万円,920000,SK82TN-310750,16885362,UZ0048291874,■最大15万相当の豪華プロメンテパック49000円～(コーティング＋安心整備８点,来店不要契約OK＋リモート商談とカード決済可■ラインchoinuki■ｙｔｓ．ｋａｍｕｉ＠ｇｍａｉｌ．ｃｏｍ,非掲載,メディア成約（カーセンサー/EDGE）,なし,非掲載,351,,2,掲出:97.9万円,掲出:98.0万円,72,72,1105,1,0,5,1,0,認定対象外,無,,,,,,,非掲出,2025/03/13 18:44,2026/03/04 09:50
レクサス,レクサスHS,HS250h バージョンI,AIS検査員資格者確認済 事前点検済 車検整,H22,2010,08,5.3万km,53000,銀,車検整備付,75.0万円,750000,85.0万円,850000,ANF10-2039902,22429328,UZ0051913769,メモリーナビバックカメラシートヒータースマートキーETC,,掲載,,あり,非掲載,4,,2,掲出:90.9万円,掲出:91.0万円,79,79,26,0,0,0,0,0,検査必須項目抜け,無,,,,,,,非掲出,2026/02/27 15:34,2026/03/01 14:31
メルセデス・ベンツ,メルセデス・ベンツ,E350 ブルーテック アバンギャルド,AIS検査員資格者確認済 事前点検済 車検整,15,2015,01,4.8万km,48000,黒,車検整備付,125.0万円,1250000,135.0万円,1350000,WDD2120262B089543,22429480,UZ0051913755,,,掲載,,あり,非掲載,4,,2,掲出:142.9万円,掲出:141.0万円,79,79,63,0,0,2,0,0,検査必須項目抜け,無,,,,,,,非掲出,2026/02/27 15:34,2026/03/01 13:58
トヨタ,プリウス,Sセーフティプラス,AIS検査員資格者確認済 事前点検済 車検整,H29,2017,06,5.1万km,51000,薄茶,車検整備付,140.0万円,1400000,150.0万円,1500000,ZVW50-8060084,22429557,UZ0051913767,,,掲載,,あり,非掲載,4,,2,掲出:155.9万円,掲出:156.0万円,79,79,16,0,0,0,0,0,検査必須項目抜け,無,,,,,,,非掲出,2026/02/27 15:34,2026/03/01 13:56
トヨタ,プリウス,S,AIS検査員資格者確認済 事前点検済 車検整,H27,2015,02,10.6万km,106000,黒,車検整備付,120.0万円,1200000,130.0万円,1300000,ZVW50-8000407,22429474,UZ0051913766,,,掲載,,あり,非掲載,4,,2,掲出:135.9万円,掲出:136.0万円,79,79,16,0,0,0,0,0,検査必須項目抜け,無,,,,,,,非掲出,2026/02/27 15:34,2026/03/01 13:54
トヨタ,ハイエース,ロングDX,AIS検査員資格者確認済 事前点検済 車検整,H17,2005,02,8.1万km,81000,白,車検整備付,160.0万円,1600000,170.0万円,1700000,KDH200-0013648,22429067,UZ0051913762,人気ロングディーゼルキーレスETCドラレコ,,掲載,,あり,非掲載,4,,2,掲出:175.9万円,掲出:176.0万円,74,74,24,0,0,0,0,0,検査必須項目抜け,無,,,,,,,非掲出,2026/02/27 15:34,2026/03/01 13:51
メルセデス・ベンツ,メルセデス・ベンツ,E250CGIブルーエフィシェンシーアバ,AIS検査員資格者確認済 事前点検済 車検整,10,2010,07,8.0万km,80000,青,2027年7月,79.0万円,790000,89.0万円,890000,WDD2120472A193834,22429395,UZ0051913779,,,掲載,,あり,非掲載,4,,2,掲出:96.9万円,掲出:95.0万円,79,79,55,0,0,0,0,0,検査必須項目抜け,無,,,,,,,非掲出,2026/02/27 15:34,2026/03/01 13:46
メルセデス・ベンツ,メルセデス・ベンツ,E250 ブルーエフィシェンシー,AIS検査員資格者確認済 事前点検済 車検整,12,2012,02,5.2万km,52000,紺,車検整備付,87.0万円,870000,97.0万円,970000,WDD2120472A584843,22429073,UZ0051913778,,,掲載,,あり,非掲載,4,,2,掲出:104.9万円,掲出:103.0万円,79,79,37,0,0,0,0,0,検査必須項目抜け,無,,,,,,,非掲出,2026/02/27 15:34,2026/03/01 13:32
